VendorNumber,VendorName,VendorAddress1,VendorAddress2,VendorCity,VendorZip,VendorState,VendorCountry,VendorContactPhone,VendorContactFax,VendorContact,VendorContactEmail,VendCommCode,VendMinority,VendDesignated,VendIndustry,VendorKey,ShipToLocation,Currency
"040002","COPPER STATE BOLT AND NUT CO.","11129 PELLICANO DR","","EL PASO","79935","TX","USA","915-595-3111","9155952366","CONTACT NAME","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","????",32142,"EPDC","DLL"
"050001","JACOBSEN INDUSTRIES","12173 MARKET ST.","","LIVONIA","48150-1166","MI","USA","734-591-6111","734-591-6126","TOM CHANEY","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",17790,"EPDC","DLL"
"050004","DRIVLOK ENGINEERED FASTENING S","1140 PARK AVE","","SYCAMORE","60178","IL","USA","(815)895-8161","(815)895-6909","BRAN VALL","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",17795,"EPDC","DLL"
"050005","DIAL TOOL INDUSTRIES","201 S. CHURCH ST.","","ADDISON","60101","IL","USA","(630)543-3600","","MELISSA INNIS X 326","MI@DIALTOOL.COM","  "," "," ","",17796,"EPDC","DLL"
"050006","CHEMTECH PLASTICS INC.","765 CHURCH ROAD","","ELGIN","60123-9308","IL","","(847)742-6800 X126","(847)742-6884","BONNY BARNHILL","BARNHILL@CHEMTECHPLASTICS.COM","CC","N","N","",17797,"EPDC","DLL"
"050007","MASTER MOLDED","1000 DAVIS ROAD","","ELGIN","60123-1383","IL","","(847)695-9700","(847)695-9707","LARRY FERGUSON","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",17798,"EPDC","DLL"
"050009","HYTECH SPRING","950 LINCOLN PARKWAY","","PLAINWELL","49080","MI","","(269)685-1768","(269)685-9250","JASON SCHIEBER","ENTER MAIN CONTACT EMAIL HERE","CC"," "," ","",17801,"EPDC","DLL"
"050010","ULTRA STAMPING & ASSEMBLY INC.","4590 HYDRAULIC ROAD","","ROCKFORD","61109","IL","USA","(815)874-9888","(815)874-5588","LISA PAUL","LPAUL@ULTRASTAMPING.COM","CC","N","N","AUTO",17802,"EPDC","DLL"
"050011","FABRIK MOLDED PLASTICS","5213 PRIME PARKWAY","","MCHENRY","60050","IL","USA","815 385 9480","(815)385-9614","DEB MADONI","DMADONI@FABRIKIND.COM","CC","N","N","AUTO",17803,"EPDC","DLL"
"050012","MID - AMERICAN PLASTIC CO.","500 EAST AVON ST.","PO BOX 667","FORRESTON","61030","IL","USA","(815)938-3110","(815)938-3172","ERIC ERDMANN","ERIC@MIDAMERICAPLASTIC.COM","CC","N","N","",17804,"EPDC","DLL"
"050013","OHARE SPRING","930 LEE STREET","","ELK GROVE VILLA","60007","IL","USA","(847)298-1360","(847)298-6765","MISTY ARENA","ENTER MAIN CONTACT EMAIL HERE","CC","N","N","",17805,"EPDC","DLL"
"050014","STEVENS COMPANY LLC","PO BOX 428","","THOMASTON","06787","CT","USA","(860)283-8201","(860)283-9304","DOUG STEVENS","ENTER MAIN CONTACT EMAIL HERE","CC","N","N","AUTO",17806,"EPDC","DLL"
"050015","COMPONENT PLASTICS INC.","700 TOLLGATE ROAD","","ELGIN","60123","IL","USA","847-695-9200 X136","","PAM JOHNSON","PJOHNSON@CPIELGIN.COM","CC","N","N","AUTO",19986,"EPDC","DLL"
