ItemNumber,ItemDescription,ItemRevision,ItemStatus,ItemClass,SQE,RunLeadTimeDays,LotSizeMinimum,LotSizeMultiplier,Planner,Buyer,InventoryQty,ItemUM,ItemUnitCost,VendorItemNumber,VendorItemDescription,VendorID,VendorName,ShipToLocation,Currency,ItemKey,VendorKey,MBS,ItemAppvStatus,QtyofBlankets,FS_PONumber,VendorPriority,FS_POLnNumber,BKPOExpireDate,LineItemOrderedQuantity,ReceiptQuantity,POLineKey,BKPOStartDate
"B14124XX","PIN-PIVOT",B ,A,5 ,   ,40,0,0,DG1,DG1,700,EA,,"B14124XX","PIN-PIVOT",040002,"COPPER STATE BOLT AND NUT CO.",EPDC,DLL,35100,32142,B,,,,0,,,,,,
"B18439XX","PIN",C ,A,5 ,   ,20,30000,0,DG1,DG1,32295,EA,,"B18439XX","PIN",040002,"COPPER STATE BOLT AND NUT CO.",EPDC,DLL,27308,32142,B,,,,0,,,,,,
"04794302AA","SIGHT SHIELD",A ,A,5 ,   ,1,0,0,DG1,DG1,1871,EA,,"04794302AA","SIGHT SHIELD",050001,"JACOBSEN INDUSTRIES",EPDC,DLL,29033,17790,B,,,,0,,,,,,
"B11358XX","PIN-RETAINER",E ,A,5 ,   ,40,0,0,DG1,DG1,21042,EA,,"B11358XX","PIN-RETAINER",050004,"DRIVLOK ENGINEERED FASTENING S",EPDC,DLL,37313,17795,B,,,,0,,,,,,
"B14124XX","PIN-PIVOT",B ,A,5 ,   ,40,0,0,DG1,DG1,700,EA,,"B14124XX","PIN-PIVOT",050004,"DRIVLOK ENGINEERED FASTENING S",EPDC,DLL,35100,17795,B,,,,0,,,,,,
"B14444XX","SEL LOCK PIN",A ,A,5 ,   ,70,75000,75000,DG1,DG1,26687,EA,,"B14444XX","PIN LOCK SEL",050004,"DRIVLOK ENGINEERED FASTENING S",EPDC,DLL,27299,17795,B,,,,0,,,,,,
"B18439XX","PIN",C ,A,5 ,   ,20,30000,0,DG1,DG1,32295,EA,,"B18439XX","PIN",050004,"DRIVLOK ENGINEERED FASTENING S",EPDC,DLL,27308,17795,B,,,,0,,,,,,
"206105","BAR-SHORTING/26940  / CLOCK S",A ,O,OB,?  ,40,1000,1000,OBS,OBS,20802,EA,,"206105","BAR-SHORTING",050005,"DIAL TOOL INDUSTRIES",EPDC,DLL,50061,17796,B,A,,,1,,,,,,
"B14144XF","CLIP CENTRALIZING",J ,A,5 ,   ,35,0,0,DG1,DG1,2573,EA,,"B14144XF","CLIP CENTRALIZING",050005,"DIAL TOOL INDUSTRIES",EPDC,DLL,27317,17796,B,,,,0,,,,,,
"B14147XD","CHANGE OVER CONTACT",E ,A,5 ,   ,40,0,0,DG1,DG1,3863,EA,,"B14147XD","CONTACT C/O",050005,"DIAL TOOL INDUSTRIES",EPDC,DLL,27257,17796,B,,,,0,,,,,,
