TYPE,JADE ORDER ITEM INDEX,JADE ORDER INDEX,ITEM LINE NUM,FS PO NUMBER,DUE DATE,VENDOR CODE,ITEM NUMBER,ITEM REV,ORDER QTY,TIMESTAMP,PO LINE KEY,ERROR,RECV QTY,LOT NUMBER,WAREHOUSE,SCAC,TRACK
"POREQ","","","2","PO-032211-03","2017-07-03 00:00:00","10374","205013","E ","7000","","286938208","","","","","",""
"POREQ","","","1","PO-052711-117","2017-05-01 00:00:00","10374","314008","C ","210","","280660079","","","","","",""
"POREQ","","","1","PO-052711-117","2017-06-05 00:00:00","10374","314008","C ","25000","","285149016","","","","","",""
"POREQ","","","1","PO-052711-117","2017-06-19 00:00:00","10374","314008","C ","25000","","285149017","","","","","",""
"POREQ","","","1","PO-052711-117","2017-07-03 00:00:00","10374","314008","C ","25000","","285149018","","","","","",""
"POREQ","","","1","PO-052711-117","2017-07-17 00:00:00","10374","314008","C ","25000","","286267570","","","","","",""
"POREQ","","","1","PO-052711-117","2017-07-24 00:00:00","10374","314008","C ","25000","","286267571","","","","","",""
"POREQ","","","1","PO-052711-117","2017-08-07 00:00:00","10374","314008","C ","25000","","286267572","","","","","",""
"POREQ","","","1","PO-052711-117","2017-08-21 00:00:00","10374","314008","C ","25000","","286267729","","","","","",""
"POREQ","","","1","PO-052711-117","2017-09-04 00:00:00","10374","314008","C ","25000","","286267730","","","","","",""
"POREQ","","","1","PO-052711-117","2017-09-11 00:00:00","10374","314008","C ","25000","","286267731","","","","","",""
"POREQ","","","1","PO-0613100-100","2017-06-19 00:00:00","52000","205019","J ","15000","","286675105","","","","","",""
"POREQ","","","1","PO-102411-102","2017-07-24 00:00:00","10374","205015","D ","30000","","286267564","","","","","",""
"POREQ","","","1","PO-102611-10","2017-07-13 00:00:00","30522","54200288","* ","15000","","288245211","","","","","",""
"POREQ","","","1","PO-102611-10","2017-06-19 00:00:00","30522","54200288","* ","30000","","286405970","","","","","",""
"POREQ","","","1","PO-111511-103","2017-06-07 00:00:00","10158","200007","C ","30000","","285291452","","","","","",""
"POREQ","","","1","PO-120111-104","2017-07-10 00:00:00","10374","205022","E ","15000","","284664792","","","","","",""
"POREQ","","","17","PO-100212-32","2017-11-03 00:00:00","880001","46623-13","AM","15","","285431274","","","","","",""
"POREQ","","","17","PO-100212-32","2017-08-11 00:00:00","880001","46623-13","AM","57","","275464485","","","","","",""
"POREQ","","","17","PO-100212-32","2017-08-14 00:00:00","880001","46623-13","AM","106","","285431271","","","","","",""
"POREQ","","","17","PO-100212-32","2017-06-26 00:00:00","880001","46623-13","AM","124","","253025236","","","","","",""
"POREQ","","","17","PO-100212-32","2017-10-06 00:00:00","880001","46623-13","AM","338","","285571404","","","","","",""
"POREQ","","","17","PO-100212-32","2017-08-15 00:00:00","880001","46623-13","AM","367","","285571401","","","","","",""
"POREQ","","","17","PO-100212-32","2017-09-07 00:00:00","880001","46623-13","AM","370","","285431313","","","","","",""
"POREQ","","","17","PO-100212-32","2017-06-23 00:00:00","880001","46623-13","AM","653","","275464488","","","","","",""
"POREQ","","","17","PO-100212-32","2017-05-16 00:00:00","880001","46623-13","AM","457","","275602386","","","","","",""
"POREQ","","","1","PO-100912-33","2017-06-12 00:00:00","11339","205020","E ","15000","","287003894","","","","","",""
"POREQ","","","1","PO-102412-JN02","2017-05-22 00:00:00","12091","201105","D ","5000","","283626372","","","","","",""
"POREQ","","","1","PO-102412-JN02","2017-05-29 00:00:00","12091","201105","D ","35000","","283626373","","","","","",""
"POREQ","","","1","PO-102412-JN02","2017-06-05 00:00:00","12091","201105","D ","35000","","283626374","","","","","",""
"POREQ","","","1","PO-102412-JN02","2017-06-12 00:00:00","12091","201105","D ","35000","","283841436","","","","","",""
"POREQ","","","1","PO-102412-JN02","2017-06-19 00:00:00","12091","201105","D ","35000","","286405914","","","","","",""
"POREQ","","","1","PO-102412-JN02","2017-06-26 00:00:00","12091","201105","D ","35000","","286405915","","","","","",""
"POREQ","","","1","PO-102412-JN02","2017-07-03 00:00:00","12091","201105","D ","35000","","286405916","","","","","",""
"POREQ","","","1","POBK-120612-01","2017-06-19 00:00:00","10047","05-419152","N ","20","","191703749","","","","","",""
"POREQ","","","1","POBK-120612-01","2017-07-28 00:00:00","10047","05-419152","N ","20","","191703750","","","","","",""
"POREQ","","","1","POBK-120612-01","2017-11-14 00:00:00","10047","05-419152","N ","20","","191703751","","","","","",""
"POREQ","","","1","PO-121012-HW01","2017-05-25 00:00:00","10047","2709956-1","E ","20","","279377468","","","","","",""
"POREQ","","","1","PO-121012-HW01","2017-06-07 00:00:00","10047","2709956-1","E ","20","","280252074","","","","","",""
"POREQ","","","1","PO-121012-HW01","2017-10-09 00:00:00","10047","2709956-1","E ","20","","288305800","","","","","",""
"POREQ","","","1","PO-121012-HW01","2017-12-06 00:00:00","10047","2709956-1","E ","20","","288305799","","","","","",""
"POREQ","","","1","PO-121012-HW01","2017-07-07 00:00:00","10047","2709956-1","E ","40","","282569258","","","","","",""
"POREQ","","","5","PO-121012-HW01","2017-08-09 00:00:00","10047","515215-1","F ","250","","284321195","","","","","",""
"POREQ","","","5","PO-121012-HW01","2017-10-06 00:00:00","10047","515215-1","F ","250","","284321197","","","","","",""
"POREQ","","","5","PO-121012-HW01","2017-11-02 00:00:00","10047","515215-1","F ","250","","284321198","","","","","",""
"POREQ","","","5","PO-121012-HW01","2017-12-06 00:00:00","10047","515215-1","F ","250","","284321199","","","","","",""
"POREQ","","","5","PO-121012-HW01","2017-07-07 00:00:00","10047","515215-1","F ","500","","284321194","","","","","",""
"POREQ","","","5","PO-121012-HW01","2017-09-07 00:00:00","10047","515215-1","F ","500","","284321196","","","","","",""
"POREQ","","","5","PO-121012-HW01","2017-05-04 00:00:00","10047","515215-1","F ","131","","280320425","","","","","",""
"POREQ","","","1","POBK-011813-04","2017-09-06 00:00:00","98859","23080-1040","M ","3","","283062860","","","","","",""
"POREQ","","","1","POBK-011813-06","2017-10-12 00:00:00","98859","23080-1230","M ","1","","287515092","","","","","",""
"POREQ","","","1","POBK-011813-06","2017-07-11 00:00:00","98859","23080-1230","M ","3","","282347743","","","","","",""
"POREQ","","","1","POBK-011813-06","2017-06-23 00:00:00","98859","23080-1230","M ","7","","279896713","","","","","",""
"POREQ","","","2","POBK-012213-01","2017-07-11 00:00:00","10047","02-1088-22","AW","40","","287452873","","","","","",""
"POREQ","","","8","PO-021413-32","2017-08-07 00:00:00","520018","205004","C ","60000","","286675100","","","","","",""
"POREQ","","","9","PO-021413-32","2017-08-25 00:00:00","520018","205005","C ","60000","","281841387","","","","","",""
"POREQ","","","10","PO-021413-32","2017-09-11 00:00:00","520018","205006","D ","60000","","286675101","","","","","",""
"POREQ","","","1","POBK-022813-03","2017-09-21 00:00:00","98859","23080-1440","N ","3","","285919360","","","","","",""
"POREQ","","","1","POBK-022813-03","2017-10-19 00:00:00","98859","23080-1440","N ","3","","287515093","","","","","",""
"POREQ","","","1","PO-040313-30","2017-06-09 00:00:00","10374","201146","F ","10000","","285291458","","","","","",""
"POREQ","","","1","PO-040313-30","2017-08-07 00:00:00","10374","201146","F ","10000","","286267560","","","","","",""
"POREQ","","","1","PO-040313-30","2017-08-14 00:00:00","10374","201146","F ","10000","","286267561","","","","","",""
"POREQ","","","1","PO-040313-30","2017-08-28 00:00:00","10374","201146","F ","10000","","286267563","","","","","",""
"POREQ","","","1","PO-040313-30","2017-09-11 00:00:00","10374","201146","F ","10000","","286267717","","","","","",""
"POREQ","","","1","PO-040313-30","2017-09-18 00:00:00","10374","201146","F ","10000","","286267718","","","","","",""
"POREQ","","","1","PO-040313-30","2017-10-02 00:00:00","10374","201146","F ","10000","","286267720","","","","","",""
"POREQ","","","1","PO-040313-30","2017-10-09 00:00:00","10374","201146","F ","10000","","286267721","","","","","",""
"POREQ","","","1","PO-040313-30","2017-10-23 00:00:00","10374","201146","F ","10000","","286267723","","","","","",""
"POREQ","","","1","PO-040313-30","2017-05-01 00:00:00","10374","201146","F ","20000","","279896640","","","","","",""
"POREQ","","","1","PO-040313-30","2017-05-08 00:00:00","10374","201146","F ","20000","","280320038","","","","","",""
"POREQ","","","1","PO-040313-30","2017-06-05 00:00:00","10374","201146","F ","20000","","282123639","","","","","",""
"POREQ","","","1","PO-040313-30","2017-06-19 00:00:00","10374","201146","F ","20000","","284321069","","","","","",""
"POREQ","","","1","PO-040313-30","2017-06-26 00:00:00","10374","201146","F ","20000","","284321070","","","","","",""
"POREQ","","","1","PO-040313-30","2017-07-03 00:00:00","10374","201146","F ","20000","","284321071","","","","","",""
"POREQ","","","1","PO-040313-30","2017-08-21 00:00:00","10374","201146","F ","20000","","286267562","","","","","",""
"POREQ","","","1","PO-040313-30","2017-09-04 00:00:00","10374","201146","F ","20000","","286267716","","","","","",""
"POREQ","","","1","PO-040313-30","2017-09-25 00:00:00","10374","201146","F ","20000","","286267719","","","","","",""
