order_index,order_number,order_due,vendor_code,part,order_qty,fs_po_line_key,Exist
436,PO-032211-03,2/17/2014 0:00,10374,205013-E,21000,,
438,PO-032211-03,2/24/2014 0:00,10374,205013-E,21000,,
439,PO-032211-03,2/24/2014 0:00,10374,205014-E,21000,,
440,PO-032211-03,3/10/2014 0:00,10374,205013-E,21000,,
441,PO-032211-03,3/10/2014 0:00,10374,205014-E,21000,,
442,PO-032211-03,3/17/2014 0:00,10374,205013-E,21000,,
443,PO-032211-03,3/17/2014 0:00,10374,205014-E,21000,,
470,PO-102411-102,2/17/2014 0:00,10374,205015-D,30000,,
471,PO-102411-102,2/24/2014 0:00,10374,205015-D,30000,,
472,PO-102411-102,3/3/2014 0:00,10374,205015-D,30000,,
473,PO-102411-102,3/10/2014 0:00,10374,205015-D,30000,,
474,PO-102411-102,3/17/2014 0:00,10374,205015-D,30000,,
485,PO-120111-104,2/17/2014 0:00,10374,205022-E,15000,,
502,PO-121411-110,2/10/2014 0:00,10374,205012-C,15000,,
503,PO-121411-110,2/17/2014 0:00,10374,205012-C,15000,,
504,PO-121411-110,2/24/2014 0:00,10374,205012-C,15000,,
505,PO-121411-110,3/3/2014 0:00,10374,205012-C,15000,,
506,PO-121411-110,3/10/2014 0:00,10374,205012-C,15000,,
507,PO-121411-110,3/17/2014 0:00,10374,205012-C,15000,,
523,PO-011513-JN16,2/3/2014 0:00,12090,205024-E,20000,,
542,PO-101013-PL01DF,1/27/2014 0:00,12090,201143-F,18000,,
543,PO-101013-PL01DF,2/3/2014 0:00,12090,201143-F,18000,,
544,PO-101013-PL01DF,2/10/2014 0:00,12090,201143-F,18000,,
545,PO-101013-PL01DF,2/17/2014 0:00,12090,201143-F,18000,,
548,PO-101013-PL01DF,3/10/2014 0:00,12090,201143-F,18000,,
575,PO-0613100-100,2/3/2014 0:00,52000,205019-J,15000,,
576,PO-0613100-100,2/10/2014 0:00,52000,205019-J,15000,,
577,PO-0613100-100,2/17/2014 0:00,52000,205019-J,15000,,
578,PO-0613100-100,2/24/2014 0:00,52000,205019-J,15000,,
579,PO-0613100-100,3/3/2014 0:00,52000,205019-J,15000,,
582,PO-102412-JN02,2/20/2014 0:00,12091,201105-C,30000,,
586,PO-102412-JN02,2/13/2014 0:00,12091,201105-C,45000,,
588,PO-031213-JN01,2/17/2014 0:00,12091,201144-G,24000,,
591,PO-031213-JN01,2/25/2014 0:00,12091,201144-G,60000,,
598,POBK-091113-701DF,2/10/2014 0:00,30141,203015-Q,25200,,
600,POBK-091113-701DF,3/3/2014 0:00,30141,203015-Q,25200,,
601,POBK-091113-701DF,3/10/2014 0:00,30141,203015-Q,25200,,
602,POBK-091113-701DF,3/31/2014 0:00,30141,203015-Q,25200,,
604,POBK-102513-67,3/4/2014 0:00,30141,201301-Q,3200,,
605,POBK-102513-67,4/7/2014 0:00,30141,201301-Q,3200,,
4023,PO-0613100-100,12/16/2013 0:00,52000,205019-J,9933,,
608,PO-080213-34,2/27/2014 0:00,52000,205113-C,998,166557309,
4024,PO-060612-30,2/3/2014 0:00,730002,54730040-B,3667,,
617,PO-101113-PL04DF,2/10/2014 0:00,12090,205010-F,10000,168607749,
619,PO-102412-JN02,3/3/2014 0:00,12091,201105-C,5000,167750081,
628,PO-101113-PL04DF,2/10/2014 0:00,12090,205010-F,10000,168607749,
634,POBK-111612-01,5/5/2014 0:00,10047,02-1088-28-AT,50,,
635,POBK-111612-01,5/12/2014 0:00,10047,02-1088-28-AT,50,,
636,POBK-111612-01,5/19/2014 0:00,10047,02-1088-28-AT,50,,
637,POBK-111612-01,5/26/2014 0:00,10047,02-1088-28-AT,50,,
638,POBK-111612-01,6/2/2014 0:00,10047,02-1088-28-AT,50,,
639,POBK-111612-01,6/9/2014 0:00,10047,02-1088-28-AT,50,,
640,POBK-111612-01,6/16/2014 0:00,10047,02-1088-28-AT,50,,
641,POBK-111612-01,6/23/2014 0:00,10047,02-1088-28-AT,50,,
642,POBK-111612-01,7/21/2014 0:00,10047,02-1088-28-AT,50,,
643,POBK-111612-01,7/29/2014 0:00,10047,02-1088-28-AT,50,,
644,POBK-111612-01,10/21/2014 0:00,10047,02-1088-28-AT,50,,
645,POBK-111612-01,11/21/2014 0:00,10047,02-1088-28-AT,50,,
646,POBK-111612-01,12/22/2014 0:00,10047,02-1088-28-AT,50,,
647,POBK-111612-01,1/21/2015 0:00,10047,02-1088-28-AT,50,,
648,POBK-111612-01,2/23/2015 0:00,10047,02-1088-28-AT,50,,
649,POBK-111612-01,4/21/2015 0:00,10047,02-1088-28-AT,50,,
650,POBK-111612-01,5/21/2015 0:00,10047,02-1088-28-AT,50,,
651,POBK-111612-01,6/22/2015 0:00,10047,02-1088-28-AT,50,,
652,POBK-111612-01,2/17/2014 0:00,10047,02-1088-28-AT,60,,
653,POBK-111612-01,8/5/2014 0:00,10047,02-1088-28-AT,60,,
654,POBK-111612-01,8/12/2014 0:00,10047,02-1088-28-AT,60,,
655,POBK-111612-01,8/19/2014 0:00,10047,02-1088-28-AT,60,,
656,POBK-111612-01,8/26/2014 0:00,10047,02-1088-28-AT,60,,
657,POBK-111612-01,9/15/2014 0:00,10047,02-1088-28-AT,60,,
658,POBK-111612-01,9/22/2014 0:00,10047,02-1088-28-AT,60,,
659,POBK-111612-01,12/18/2014 0:00,10047,02-1088-28-AT,60,,
660,POBK-111612-01,4/9/2015 0:00,10047,02-1088-28-AT,60,,
661,POBK-111612-01,4/30/2015 0:00,10047,02-1088-28-AT,60,,
662,POBK-111612-01,5/11/2015 0:00,10047,02-1088-28-AT,60,,
663,POBK-111612-01,5/29/2015 0:00,10047,02-1088-28-AT,60,,
664,POBK-111612-01,6/9/2015 0:00,10047,02-1088-28-AT,60,,
665,POBK-111612-01,6/30/2015 0:00,10047,02-1088-28-AT,60,,
666,POBK-111612-01,7/31/2015 0:00,10047,02-1088-28-AT,60,,
667,POBK-111612-01,8/21/2015 0:00,10047,02-1088-28-AT,80,,
669,POBK-111612-01,7/21/2015 0:00,10047,02-1088-28-AT,100,,
670,POBK-111612-01,3/11/2014 0:00,10047,02-1088-28-AT,130,,
672,POBK-111612-01,8/10/2015 0:00,10047,02-1088-28-AT,160,,
673,POBK-111612-01,7/9/2015 0:00,10047,02-1088-28-AT,210,,
674,POBK-120612-01,11/18/2014 0:00,10047,05-419152-N,20,,
675,POBK-120612-01,12/22/2014 0:00,10047,05-419152-N,20,,
676,POBK-120612-01,1/20/2015 0:00,10047,05-419152-N,20,,
677,POBK-120612-01,2/17/2015 0:00,10047,05-419152-N,20,,
678,POBK-120612-01,3/17/2015 0:00,10047,05-419152-N,20,,
679,POBK-120612-01,4/21/2015 0:00,10047,05-419152-N,20,,
680,POBK-120612-01,5/19/2015 0:00,10047,05-419152-N,20,,
681,POBK-120612-01,6/16/2015 0:00,10047,05-419152-N,20,,
682,POBK-120612-01,7/21/2015 0:00,10047,05-419152-N,20,,
683,POBK-120612-01,8/18/2015 0:00,10047,05-419152-N,20,,
684,POBK-120612-01,6/24/2014 0:00,10047,05-419152-N,50,,
685,POBK-120612-02,2/17/2014 0:00,10047,05-419160-G,10,,
686,POBK-120612-02,5/21/2014 0:00,10047,05-419160-G,10,,
687,POBK-120612-02,7/21/2014 0:00,10047,05-419160-G,10,,
688,POBK-120612-02,8/21/2014 0:00,10047,05-419160-G,10,,
689,POBK-120612-02,10/21/2014 0:00,10047,05-419160-G,10,,
690,POBK-120612-02,12/22/2014 0:00,10047,05-419160-G,10,,
691,POBK-120612-02,1/21/2015 0:00,10047,05-419160-G,10,,
692,POBK-120612-02,3/23/2015 0:00,10047,05-419160-G,10,,
693,POBK-120612-02,5/21/2015 0:00,10047,05-419160-G,10,,
694,POBK-120612-02,6/22/2015 0:00,10047,05-419160-G,10,,
695,POBK-120612-02,8/14/2015 0:00,10047,05-419160-G,10,,
696,POBK-120612-02,8/21/2015 0:00,10047,05-419160-G,10,,
697,PO-121012-HW01,3/28/2014 0:00,10047,2711079-2-D,60,,
698,PO-121012-HW01,3/28/2014 0:00,10047,2707671-2-F,100,,
699,PO-121012-HW01,6/2/2014 0:00,10047,2711079-2-D,137,,
700,PO-121012-HW01,4/4/2014 0:00,10047,2709956-1-E,50,,
701,PO-121012-HW01,2/3/2014 0:00,10047,2709956-1-E,100,,
703,PO-121012-HW01,5/2/2014 0:00,10047,2707911-2-A,100,,
704,PO-121012-HW01,6/13/2014 0:00,10047,2707671-2-F,100,,
705,PO-121012-HW01,2/7/2014 0:00,10047,515215-1-E,500,,
706,PO-121012-HW01,5/30/2014 0:00,10047,515215-1-E,500,,
707,PO-121012-HW01,7/25/2014 0:00,10047,515215-1-E,500,,
708,PO-121012-HW01,9/23/2014 0:00,10047,515215-1-E,500,,
709,POBK-011013-01,5/19/2014 0:00,10047,02-1088-18-AT,20,,
712,POBK-011013-01,3/3/2014 0:00,10047,02-1088-18-AT,100,,
713,POBK-011013-01,3/10/2014 0:00,10047,02-1088-18-AT,100,,
714,POBK-011013-01,3/17/2014 0:00,10047,02-1088-18-AT,200,,
757,PO-030813-33,2/24/2014 0:00,10047,05-419153-N,30,,
758,PO-030813-33,3/3/2014 0:00,10047,05-419153-N,30,,
759,PO-030813-33,5/20/2014 0:00,10047,05-419153-N,30,,
760,PO-030813-33,6/24/2014 0:00,10047,05-419153-N,30,,
761,PO-030813-33,7/29/2014 0:00,10047,05-419153-N,30,,
762,PO-030813-33,8/19/2014 0:00,10047,05-419153-N,30,,
763,PO-030813-33,9/23/2014 0:00,10047,05-419153-N,30,,
764,PO-030813-33,11/18/2014 0:00,10047,05-419153-N,30,,
765,PO-030813-33,12/23/2014 0:00,10047,05-419153-N,30,,
766,PO-030813-33,1/20/2015 0:00,10047,05-419153-N,30,,
767,PO-030813-33,2/17/2015 0:00,10047,05-419153-N,30,,
768,PO-030813-33,3/17/2015 0:00,10047,05-419153-N,30,,
769,PO-030813-33,4/21/2015 0:00,10047,05-419153-N,30,,
770,PO-030813-33,5/19/2015 0:00,10047,05-419153-N,30,,
771,PO-030813-33,7/21/2015 0:00,10047,05-419153-N,30,,
772,PO-030813-33,8/18/2015 0:00,10047,05-419153-N,30,,
774,PO-032513-30,7/29/2014 0:00,10047,02-1088-11-AT,20,,
775,PO-032513-30,2/9/2015 0:00,10047,02-1088-11-AT,20,,
776,PO-032513-30,3/23/2015 0:00,10047,02-1088-11-AT,20,,
777,PO-032513-30,4/21/2015 0:00,10047,02-1088-11-AT,20,,
778,PO-032513-30,6/22/2015 0:00,10047,02-1088-11-AT,20,,
779,PO-032513-30,7/21/2015 0:00,10047,02-1088-11-AT,20,,
780,PO-032513-30,7/21/2014 0:00,10047,02-1088-11-AT,40,,
781,PO-032513-30,7/30/2014 0:00,10047,02-1088-11-AT,40,,
782,PO-032513-30,10/29/2014 0:00,10047,02-1088-11-AT,40,,
783,PO-032513-30,12/12/2014 0:00,10047,02-1088-11-AT,40,,
784,PO-032513-30,12/22/2014 0:00,10047,02-1088-11-AT,40,,
785,PO-032513-30,1/20/2015 0:00,10047,02-1088-11-AT,40,,
786,PO-032513-30,4/13/2015 0:00,10047,02-1088-11-AT,40,,
787,PO-032513-30,7/23/2015 0:00,10047,02-1088-11-AT,40,,
788,PO-032513-30,8/13/2015 0:00,10047,02-1088-11-AT,40,,
789,PO-032513-30,8/17/2015 0:00,10047,02-1088-11-AT,40,,
790,PO-032513-30,10/27/2014 0:00,10047,02-1088-11-AT,50,,
792,PO-032513-30,2/18/2014 0:00,10047,02-1088-11-AT,60,,
793,PO-032513-30,3/21/2014 0:00,10047,02-1088-11-AT,60,,
794,PO-032513-30,3/25/2014 0:00,10047,02-1088-11-AT,60,,
795,PO-032513-30,5/20/2014 0:00,10047,02-1088-11-AT,60,,
796,PO-032513-30,6/24/2014 0:00,10047,02-1088-11-AT,60,,
797,PO-032513-30,8/19/2014 0:00,10047,02-1088-11-AT,60,,
798,PO-032513-30,9/22/2014 0:00,10047,02-1088-11-AT,60,,
799,PO-032513-30,3/13/2015 0:00,10047,02-1088-11-AT,60,,
800,PO-032513-30,6/12/2015 0:00,10047,02-1088-11-AT,60,,
801,PO-032513-30,4/22/2014 0:00,10047,02-1088-11-AT,100,,
803,POBK-040913-03,6/19/2014 0:00,10047,31169-1845-C,10,,
804,POBK-040913-03,10/21/2014 0:00,10047,31169-1845-C,10,,
805,POBK-040913-03,2/17/2015 0:00,10047,31169-1845-C,10,,
806,POBK-040913-03,6/19/2015 0:00,10047,31169-1845-C,10,,
807,POBK-040913-03,9/21/2015 0:00,10047,31169-1845-C,10,,
808,POBK-042413-02,1/17/2014 0:00,98867,05-555939-L,1000,,
840,PO-052213-HW01,5/9/2014 0:00,10047,518818-5-G,4,,
841,PO-052213-HW01,8/8/2014 0:00,10047,518818-5-G,6,,
842,PO-052213-HW01,6/13/2014 0:00,10047,518818-5-G,8,,
843,PO-052213-HW01,11/21/2014 0:00,10047,518818-5-G,8,,
844,PO-052213-HW01,7/24/2014 0:00,10047,518818-5-G,9,,
845,PO-052213-HW01,6/27/2014 0:00,10047,518818-5-G,10,,
846,PO-052213-HW01,5/23/2014 0:00,10047,518818-5-G,11,,
847,PO-052213-HW01,7/11/2014 0:00,10047,518818-5-G,12,,
848,PO-052213-HW01,8/27/2014 0:00,10047,518818-5-G,12,,
849,PO-052213-HW01,4/25/2014 0:00,10047,518818-5-G,14,,
850,PO-052213-HW01,9/23/2014 0:00,10047,518818-5-G,15,,
851,PO-052213-HW01,10/23/2014 0:00,10047,518818-5-G,16,,
852,PO-052213-HW01,2/17/2014 0:00,10047,518818-5-G,73,,
870,PO-052213-HW01,4/29/2014 0:00,10047,2047413-1-H,266,,
872,POBK-061213-03,6/12/2014 0:00,98867,05-555952-G,1000,,
873,POBK-061713-01,2/3/2014 0:00,98867,30089-1570-A,1000,,
874,POBK-061713-01,5/5/2014 0:00,98867,30089-1570-A,1000,,
875,POBK-061713-01,6/17/2014 0:00,98867,30089-1570-A,1000,,
876,PO-071813-04,3/18/2014 0:00,98867,02-2050-62-BM,5000,,
877,PO-071813-04,7/18/2014 0:00,98867,02-2050-62-BM,5000,,
879,POBK-071913-01,6/25/2014 0:00,10047,23065-1092-C,20,,
880,POBK-071913-01,7/21/2014 0:00,10047,23065-1092-C,20,,
881,POBK-071913-01,10/17/2014 0:00,10047,23065-1092-C,20,,
